location,district,area,bed,latitude,longitude,price,type
"196 Kildare Road, Crumlin, Dublin 12",12,56 m²,2 Bed,53.3256781,-6.3039738,"€ 265,000",Terrace
"197 Glenvara Park, Templeogue, Knocklyon, Dublin 16",16,84 m²,3 Bed,53.2788755,-6.3286162,"€ 450,000",Semi-D
"198 Killinarden Estate, Tallaght, Dublin 24",24,103 m²,4 Bed,53.280303,-6.3888516,"€ 259,000",End of Terrace
"198A Kincora Road, Clontarf, Dublin 3",3,null,4 Bed,53.3637247,-6.2038162,"€ 850,000",Detached
"19a Howth Junction Cottages, Kilbarrack, Dublin 5",5,78 m²,3 Bed,53.3899561,-6.1564715,"€ 345,000",Semi-D
"19A Lorcan Green, Santry, Dublin 9",9,128 m²,4 Bed,53.3909948,-6.2335784,"€ 440,000",Detached
"1A Butterfield Grove, Rathfarnham, Dublin 14",14,154 m²,3 Bed,53.2955779,-6.3020933,"€ 995,000",Detached
"1A Foxhill Lawn, Baldoyle, Clarehall, Dublin 13",13,null,3 Bed,53.3947965,-6.1747417,"€ 395,000",Detached
"1A Foxhill Lawn, Baldoyle, Donaghmede, Dublin 13",13,null,3 Bed,53.3947965,-6.1747417,"€ 395,000",Detached
"1A Mulvey Park, Dundrum, Dublin 14",14,82 m²,3 Bed,53.3009061,-6.2441465,"€ 445,000",Detached
"1A Newbawn Park, Tallaght, Dublin 24",24,null,3 Bed,53.2796738,-6.355115,"€ 300,000",End of Terrace
"1A Raheen Court, Tallaght, Dublin 24",24,95 m²,3 Bed,53.2829306,-6.3883414,"€ 310,000",Detached
"1A Rathborne Avenue, Ashtown, Dublin 15",15,51 m²,1 Bed,53.3773571,-6.3293197,"€ 230,000",Apartment
"1A Robinhood Park, Long Mile Road, Walkinstown, Dublin 12",12,71 m²,3 Bed,53.3212567,-6.3537337,"€ 345,000",Semi-D
"1C Rainsford Avenue, Dublin 8",8,40 m²,2 Bed,53.3426233,-6.2821525,"€ 255,000",Apartment
"2 Ailesbury, Shanowen Road, Santry, Dublin 9",9,93 m²,3 Bed,53.389935,-6.2469974,"€ 365,000",Terrace
"2 Avoca, Lower Road, Shankill, Dublin 18",18,135 m²,4 Bed,53.2312316,-6.1261377,"€ 595,000",Terrace
"2 Barberstown, Clonsilla, Dublin 15",15,111 m²,3 Bed,53.4102465,-6.4392594,"€ 365,000",Semi-D
"2 Broomfield Hall, Broomfield Court, Shankill, Dublin 18",18,80 m²,2 Bed,53.2400781,-6.1237461,"€ 315,000",Apartment
"2 Canal View, South Circular Road, Dublin 8",8,166 m²,3 Bed,53.3393522,-6.251457,"€ 795,000",Terrace
"2 Castle Elms Court, Greencastle Road, Coolock, Dublin 17",17,84 m²,3 Bed,53.3942281,-6.1986072,"€ 250,000",Terrace
"2 Cedarwood Avenue, Glasnevin, Dublin 11",11,97 m²,3 Bed,53.3946517,-6.2852442,"€ 395,000",Semi-D
"2 Cloonmore Avenue, Jobstown, Tallaght, Dublin 24",24,101 m²,3 Bed,53.2796338,-6.3986406,"€ 200,000",End of Terrace
"2 Coolbrook Cottages, Barnlodge, Finglas, Dublin 11",11,null,3 Bed,53.3897304,-6.2929327,"€ 275,000",Bungalow
"2 Coolbrook Cottages, Blanchardstown, Dublin 15",15,null,3 Bed,53.3842081,-6.3759736,"€ 275,000",Bungalow
"2 Erris Square, Waterville, Blanchardstown, Dublin 15",15,93 m²,2 Bed,53.3921644,-6.3683688,"€ 270,000",Duplex
"2 Ferrycarrig Road, Coolock, Dublin 5",5,80 m²,3 Bed,53.398906,-6.2025781,"€ 285,000",Semi-D
"2 Field Avenue, Walkinstown, Dublin 12",12,76 m²,2 Bed,53.3192335,-6.3320966,"€ 325,000",Semi-D
"2 Foster Terrace, Ballybough, Dublin 3",3,69 m²,2 Bed,53.3594516,-6.2464628,"€ 365,000",Terrace
"2 Gledswood Mews Bird Avenue Clonskeagh Dublin 14, Clonskeagh, Dublin 14",14,96 m²,4 Bed,53.3033681,-6.2347382,"€ 595,000",Detached
"2 Glenfield Avenue, Clondalkin, Dublin 22",22,87 m²,3 Bed,53.3468657,-6.3985551,"€ 239,000",Terrace
"2 Goldenbridge Terrace, Inchicore, Dublin 8",8,91 m²,3 Bed,53.3370014,-6.3137971,"€ 375,000",Terrace
"2 Herbert Court Off Herbert Park Donnybrook Dublin 4, Donnybrook, Dublin 4",4,129 m²,4 Bed,53.3256475,-6.2396662,"€ 1,100,000",Semi-D
"2 Holly Road, Donnycarney, Dublin 3",3,82 m²,2 Bed,53.3741564,-6.2230015,"€ 375,000",End of Terrace
"2 Innisfallen Parade, North Circular Road, Phibsborough, Dublin 7",7,80 m²,3 Bed,53.3609125,-6.2610892,"€ 295,000",Terrace
"2 Lansdowne Park, Knocklyon Road, Knocklyon, Dublin 16",16,136 m²,5 Bed,53.2889109,-6.3120273,"€ 665,000",Semi-D
"2 Lauderdale Terrace, New Row South, Dublin 8",8,102 m²,3 Bed,53.3384744,-6.2737541,"€ 625,000",Terrace
"2 Leeson Village, Donnybrook, Dublin 4",4,170 m²,3 Bed,53.328141,-6.2466436,"€ 1,195,000",Townhouse
"2 Lismore Road, Crumlin, Dublin 12",12,158 m²,4 Bed,53.3197743,-6.2907048,"€ 410,000",Semi-D
"2 Margaret Place, Bath Avenue, Sandymount, Dublin 4",4,64 m²,2 Bed,53.3377312,-6.2320295,"€ 495,000",End of Terrace
"2 Martin Grove, Blackhorse Avenue, Navan Road (D7), Dublin 7",7,119 m²,4 Bed,53.3643943,-6.3169864,"€ 480,000",Semi-D
"2 Meath Mart, Meath Street, The Coombe, Dublin 8",8,100 m²,3 Bed,53.3413523,-6.2788296,"€ 650,000",Apartment
"2 Meath Terrace, Meath Street, Dublin 8",8,72 m²,2 Bed,53.3410109,-6.2799884,"€ 495,000",Terrace
"2 Poppintree Cottages, Jamestown Road, Finglas, Dublin 11",11,null,4 Bed,53.4030721,-6.2912162,"€ 350,000",Bungalow
"2 Poppintree Cottages, Jamestown Road, Finglas, Dublin 11",11,null,4 Bed,53.4030721,-6.2912162,"€ 590,000",Bungalow
"2 Roselawn Court, Castleknock, Dublin 15",15,130 m²,4 Bed,53.3829169,-6.3719869,"€ 485,000",Semi-D
"2 Rossfield Court, Tallaght, Dublin 24",24,85 m²,2 Bed,53.2862166,-6.4011022,"€ 198,000",Bungalow
"2 Saint Anthony's Road, Rialto, Dublin 8",8,127 m²,5 Bed,53.3358172,-6.2950152,"€ 500,000",Terrace
"2 Seagrange Road, Baldoyle, Dublin 13",13,null,3 Bed,53.396123,-6.1401842,"€ 385,000",End of Terrace
"2 Seskin View Park, Tallaght, Dublin 24",24,144 m²,5 Bed,53.2798173,-6.3561772,"€ 375,000",End of Terrace
"2 St Brendan's Terrace, Tibradden, Rathfarnham, Dublin 16",16,108 m²,3 Bed,53.2608171,-6.2950601,"€ 625,000",Bungalow
"2 St Kevins Parade, Portobello, Dublin 8",8,104 m²,2 Bed,53.3365237,-6.2691382,"€ 725,000",End of Terrace
"2 St. Kevin's Place Donovan Lane Blackpitts Dublin 8, Dublin 8",8,140 m²,3 Bed,53.3359513,-6.27485,"€ 775,000",Apartment
"2 The Avenue, Cypress Downs, Templeogue, Dublin 6W",6W,135 m²,4 Bed,53.3010982,-6.3156186,"€ 1,100,000",Detached
"2 The Close, Scholarstown Wood, Rathfarnham, Dublin 16",16,163 m²,4 Bed,53.2793603,-6.3011508,"€ 695,000",Semi-D
"2 The Rectory, Park House, Baldoyle, Dublin 13",13,168 m²,3 Bed,53.3963038,-6.1281784,"€ 595,000",Terrace
"2 Tonguefield Road, Kimmage, Dublin 6W",6W,82 m²,3 Bed,53.3192035,-6.296614,"€ 435,000",Semi-D
"2 Villiers Road, Rathgar, Dublin 6",6,185 m²,4 Bed,53.3150423,-6.2666105,"€ 1,350,000",Terrace
"2 Walker's Cottages, Ranelagh, Dublin 6",6,38 m²,1 Bed,53.3261051,-6.2602401,"€ 395,000",Terrace
"2 Watkins Buildings, The Coombe, Dublin 8",8,null,2 Bed,53.3395127,-6.2793506,"€ 375,000",Terrace
"20 Alderwood Drive, Springfield, Tallaght, Dublin 24",24,84 m²,3 Bed,53.2856549,-6.3785739,"€ 245,000",Terrace
"20 Annaly Drive, Ongar Village, Ongar, Dublin 15",15,62 m²,1 Bed,53.392191,-6.4337003,"€ 165,000",Apartment
"20 Arranmore, 13_17 Pembroke Road, Ballsbridge, Dublin 4",4,38 m²,1 Bed,53.3324643,-6.2425468,"€ 250,000",Apartment
"20 Bolbrook Grove, Tallaght, Dublin 24",24,null,4 Bed,53.2857887,-6.3441474,"€ 285,000",Semi-D
"20 Butlers Court, Sir John Rogersons Quay, Dublin 2",2,70 m²,2 Bed,53.3453867,-6.2334255,"€ 495,000",Apartment
"20 Byrnes Lane, Dublin 2",2,72 m²,2 Bed,53.3441883,-6.2429563,"€ 415,000",Terrace
"20 Cherryfield Lawn, Clonsilla, Dublin 15",15,104 m²,4 Bed,53.3923355,-6.423214,"€ 320,000",Bungalow
"20 Church Avenue South, Rialto, Dublin 8",8,89 m²,3 Bed,53.3360716,-6.2944377,"€ 425,000",Terrace
"20 Croftwood Crescent, Ballyfermot, Dublin 10",10,104 m²,4 Bed,53.3376895,-6.3703949,"€ 325,000",End of Terrace
"20 Curzon Street, South Circular Road, Dublin 8",8,134 m²,3 Bed,53.3329087,-6.2692243,"€ 875,000",Terrace
"20 Dodderbrook Park, Ballycullen, Dublin 24",24,132 m²,4 Bed,53.2688481,-6.3433057,"€ 475,000",Semi-D
"20 Donn Rua, Castleknock Road, Castleknock, Dublin 15",15,68 m²,2 Bed,53.3740471,-6.3640885,"€ 275,000",Apartment
"20 El Greco, Saint James's Court, Serpentine Avenue, Ballsbridge, Dublin 4",4,60 m²,1 Bed,53.3292702,-6.2244563,"€ 369,950",Apartment
"20 Emorville Avenue, Portobello, Dublin 8",8,149 m²,4 Bed,53.333525,-6.2729086,"€ 750,000",Terrace
"20 Ferguson Road, Drumcondra, Dublin 9",9,80 m²,3 Bed,53.371415,-6.2593742,"€ 325,000",Semi-D
"20 Grange Manor Drive, Rathfarnham, Dublin 16",16,null,3 Bed,53.2891415,-6.2810038,"€ 445,000",Semi-D
"20 Heathfield Terrace, Finglas, Dublin 11",11,101 m²,3 Bed,53.3958234,-6.3208166,"€ 305,000",End of Terrace
"20 Homelawn Drive, Old Bawn, Oldbawn, Dublin 24",24,null,3 Bed,53.2843814,-6.3513581,"€ 289,950",End of Terrace
"20 Maolbuille Road, Glasnevin, Dublin 11",11,87 m²,3 Bed,53.387512,-6.2686072,"€ 395,000",End of Terrace
"20 Mill Court Avenue, Clondalkin, Dublin 22",22,83 m²,3 Bed,53.3209587,-6.4156646,"€ 319,500",End of Terrace
"20 Mount Garrett Close, Tyrellstown, Tyrrelstown, Dublin 15",15,null,2 Bed,53.4198454,-6.3829136,"€ 249,950",End of Terrace
"20 Moy Elta Road, East Wall, Dublin 3",3,null,2 Bed,53.3558971,-6.2376109,"€ 284,950",Terrace
"20 Murtagh Road, Stoneybatter, Dublin 7",7,69 m²,2 Bed,53.3519735,-6.2880605,"€ 365,000",Terrace
"20 Nash Street, Inchicore, Dublin 8",8,51 m²,2 Bed,53.3360774,-6.3302252,"€ 290,000",Terrace
"20 Prospect Avenue, Prospect Manor, Rathfarnham, Dublin 16",16,149 m²,4 Bed,53.2745153,-6.3009281,"€ 580,000",Semi-D
"20 Saint Ronan's Crescent, Clondalkin, Dublin 22",22,105 m²,4 Bed,53.3404911,-6.4017533,"€ 250,000",Semi-D
"20 Seagrave Terrace, Finglas, Dublin 11",11,null,4 Bed,53.4060059,-6.292279,"€ 299,950",Terrace
"20 Synge Street, Portobello, Dublin 8",8,180 m²,3 Bed,53.3317988,-6.2670514,"€ 1,150,000",Terrace
"20 The Village, Bettyglen, Raheny, Dublin 5",5,98 m²,2 Bed,53.3771095,-6.1637013,"€ 425,000",Terrace
"20 Tymon North Gardens, Tallaght, Dublin 24",24,101 m²,3 Bed,53.2941695,-6.3442547,"€ 290,000",Terrace
"20 Windsor Terrace, Portobello, Dublin 8",8,149 m²,3 Bed,53.3299087,-6.2738675,"€ 825,000",Terrace
"200 De Bret House, Loreto Abbey, Grange Road, Rathfarnham, Dublin 14",14,800 m²,2 Bed,53.2924494,-6.2780494,"€ 359,950",Apartment
"201 Hillcrest Park, Glasnevin, Dublin 11",11,128 m²,5 Bed,53.3860606,-6.2781804,"€ 385,000",Semi-D
"203 Tyrconnell Road, Inchicore, Dublin 8",8,130 m²,1 Bed,53.335518,-6.3265725,"€ 330,000",Semi-D
"205 The Camden, Charlotte Quay Dock, Dublin 4",4,45 m²,1 Bed,53.3360289,-6.2655781,"€ 300,000",Apartment
"208 Cashel Road, Crumlin, Dublin 12",12,null,2 Bed,53.3196779,-6.3043998,"€ 275,000",Terrace
"208 New Seskin Court, Tallaght, Dublin 24",24,null,2 Bed,53.2768996,-6.3797237,"€ 224,950",Apartment
"20A Rathborne Drive, Ashtown, Dublin 15",15,50 m²,1 Bed,53.3782826,-6.3253808,"€ 235,000",Apartment
"20A Shanliss Road Santry Dublin 9, Santry, Dublin 9",9,95 m²,3 Bed,53.3910419,-6.2498752,"€ 450,000",Detached
"21 Ailesbury Drive, Donnybrook, Dublin 4",4,285 m²,5 Bed,53.3209034,-6.2275988,"€ 2,400,000",Detached
"21 Annfield Drive, Castleknock, Dublin 15",15,null,3 Bed,53.3747351,-6.4054179,"€ 350,000",End of Terrace
"21 Cooleen Avenue, Beaumont, Dublin 9",9,152 m²,3 Bed,53.3886539,-6.2454116,"€ 395,000",Semi-D
"21 Daletree Close, Ballycullen, Dublin 24",24,90 m²,3 Bed,53.2728423,-6.3352861,"€ 375,000",Semi-D
"21 Drury Hall, 23-27 Stephen Street Lower, Dublin 2",2,39 m²,1 Bed,53.3412013,-6.2647211,"€ 275,000",Apartment
"21 Hansfield, Clonee, Dublin 15",15,null,4 Bed,53.4008423,-6.4258209,"€ 389,950",Semi-D
"21 Harbour View, Howth, Dublin 13",13,68 m²,2 Bed,53.3863796,-6.0676177,"€ 475,000",Terrace
"21 Hazelwood Close, Clondalkin, Dublin 22",22,null,3 Bed,53.3108734,-6.4045968,"€ 345,000",Semi-D
"21 Hazelwood, Shankill, Dublin 18",18,137 m²,4 Bed,53.2389049,-6.1246118,"€ 540,000",Detached
"21 Hollywood Drive, Goatstown, Dublin 14",14,131 m²,4 Bed,53.294276,-6.2291551,"€ 740,000",Semi-D
"21 Hunters Hall, Hunters Place, Hunters Wood, Ballycullen, Dublin 16",16,null,1 Bed,53.2705707,-6.3292965,"€ 195,000",Apartment
"21 Leinster Lawn, Clonskeagh, Dublin 14",14,182 m²,4 Bed,53.3068425,-6.238607,"€ 1,200,000",Bungalow
"21 Mallin Avenue, Rialto, Dublin 8",8,58 m²,2 Bed,53.3380735,-6.2908194,"€ 350,000",End of Terrace
"21 Mayfield Road, Terenure, Dublin 6W",6W,180 m²,4 Bed,53.311629,-6.2872804,"€ 1,050,000",Terrace
"21 Melville Drive, Meakstown, Finglas, Dublin 11",11,null,2 Bed,53.4012675,-6.2936196,"€ 210,000",Apartment
"21 Park Lodge, Castleknock Dublin 15, Castleknock, Dublin 15",15,167 m²,5 Bed,53.3794895,-6.3704356,"€ 810,000",Detached
"21 Parkview Drive, Balbutcher Lane, Finglas, Dublin 11",11,68 m²,2 Bed,53.3987867,-6.2887133,"€ 215,000",Duplex
"21 Phelan Avenue, Royal Canal Park, Ashtown, Dublin 15",15,158 m²,4 Bed,53.3773559,-6.3144279,"€ 545,000",Terrace
"21 Priory Road, Harold's Cross, Dublin 6",6,96 m²,3 Bed,53.3267474,-6.2810512,"€ 510,000",Semi-D
"21 Sandford Avenue, Donore Avenue, Dublin 8",8,104 m²,3 Bed,53.3333544,-6.2823576,"€ 650,000",Terrace
"21 Shelton Gardens, Kimmage Road West, Kimmage, Dublin 12",12,125 m²,4 Bed,53.3115529,-6.3092591,"€ 525,000",Semi-D
"21 St. Assams Road West, Raheny, Dublin 5",5,115 m²,3 Bed,53.3823554,-6.1701028,"€ 590,000",Semi-D
"21 Suncroft Park, Tallaght, Dublin 24",24,null,2 Bed,53.2816711,-6.4054533,"€ 225,000",End of Terrace
"21 Sundale Parade, Tallaght, Dublin 24",24,95 m²,3 Bed,53.2831363,-6.4107292,"€ 260,000",End of Terrace
"21 Swiftbrook Drive, Tallaght, Dublin 24",24,null,3 Bed,53.28548,-6.4044202,"€ 245,000",Terrace
"21 Walkinstown Crescent, Walkinstown, Dublin 12",12,113 m²,4 Bed,53.3180177,-6.3379008,"€ 395,000",End of Terrace
"21, The Cubes 2, Beacon South Quarter, Sandyford, Dublin 18",18,79 m²,2 Bed,53.2776924,-6.2164468,"€ 399,950",Apartment
"214 The Sweepstakes, Ballsbridge, Dublin 4",4,78 m²,2 Bed,53.3315191,-6.2282866,"€ 495,000",Apartment
"217 The Tramyard, Inchicore, Dublin 8",8,53 m²,1 Bed,53.338898,-6.321499,"€ 195,000",Apartment
"219 Tyreconnell Road, Inchicore, Dublin 8",8,null,6 Bed,53.3351596,-6.327059,"€ 450,000",Semi-D
"21A Newbury Drive, Clonshaugh, Dublin 17",17,null,3 Bed,53.4016604,-6.2114173,"€ 260,000",Detached
"21a Willans Way, Ongar, Dublin 15",15,76 m²,2 Bed,53.3952432,-6.4411456,"€ 225,000",Apartment
"22 Ard Mor Close, Tallaght, Dublin 24",24,78 m²,3 Bed,53.288661,-6.4156049,"€ 220,000",End of Terrace
"22 Ashington Grove, Navan Road (D7), Dublin 7",7,102 m²,4 Bed,53.3717491,-6.3174754,"€ 495,000",Semi-D
"22 Bath Avenue Gardens, Sandymount, Dublin 4",4,85 m²,3 Bed,53.3375748,-6.2297139,"€ 595,000",Terrace
"22 Cairnbrook Avenue, Cairnbrook, Carrickmines, Dublin 18",18,113 m²,2 Bed,53.2453332,-6.183119,"€ 450,000",Apartment
"22 Cedarwood Avenue, Glasnevin, Dublin 11",11,null,4 Bed,53.3951396,-6.2865944,"€ 535,000",Detached
"22 Church Gardens, Rathmines, Dublin 6",6,74 m²,3 Bed,53.3215713,-6.2649406,"€ 450,000",Semi-D
"22 Church Road, Sutton, Dublin 13",13,120 m²,3 Bed,53.3875346,-6.1048396,"€ 825,000",Bungalow
"22 Greenhills Court, Greenhills Road, Tallaght, Dublin 24",24,null,2 Bed,53.2888905,-6.3571913,"€ 245,000",Apartment
"22 Highfield Road, Rathgar, Dublin 6",6,339 m²,5 Bed,53.3125454,-6.2680746,"€ 2,950,000",Semi-D
"22 Kildare Road, Crumlin, Dublin 12",12,null,2 Bed,53.3275812,-6.3037719,"€ 324,950",Terrace
"22 Lock Keepers Walk, Royal Canal Park, Ashtown, Dublin 15",15,96 m²,3 Bed,53.3764669,-6.3121174,"€ 395,000",Terrace
"22 Lorcan Park, Santry, Dublin 9",9,90 m²,3 Bed,53.3912806,-6.2403728,"€ 310,000",Semi-D
"22 Loreto Crescent, Rathfarnham, Dublin 14",14,72 m²,2 Bed,53.2905058,-6.2733937,"€ 375,000",Terrace
"22 Louvain, Clonskeagh, Dublin 14",14,166 m²,3 Bed,53.2981218,-6.2246302,"€ 925,000",Detached
"22 Lymewood Mews, Northwood, Santry, Dublin 9",9,61 m²,1 Bed,53.4041122,-6.2600368,"€ 240,000",Apartment
"22 Old Bawn Park, Tallaght, Dublin 24",24,105 m²,3 Bed,53.2795601,-6.3610501,"€ 375,000",Semi-D
"22 Ranelagh Road, Ranelagh, Dublin 6",6,184 m²,3 Bed,53.3289876,-6.2593299,"€ 1,095,000",End of Terrace
"22 Rehoboth Place, Dublin 8",8,958 m²,3 Bed,53.3335184,-6.2903039,"€ 475,000",Terrace
"22 Roselawn Walk, Castleknock, Dublin 15",15,130 m²,3 Bed,53.3798284,-6.3761547,"€ 520,000",Semi-D
"22 Saint Aidan's Park Avenue, Marino, Dublin 3",3,101 m²,3 Bed,53.3668391,-6.2307643,"€ 480,000",Semi-D
"22 Shelbourne Road, Ballsbridge, Dublin 4",4,196 m²,3 Bed,53.3365425,-6.2334036,"€ 1,300,000",Terrace
"22 Skelligs Court, Waterville, Blanchardstown, Dublin 15",15,120 m²,3 Bed,53.3959957,-6.373284,"€ 329,950",Apartment
"22 St. Albans Road, South Circular Road, Dublin 8",8,118 m²,3 Bed,53.3334125,-6.2775156,"€ 725,000",Terrace
"22 Station Court Way, Clonsilla, Dublin 15",15,68 m²,2 Bed,53.3789243,-6.3952037,"€ 265,000",Apartment
"22 Stocking Wood Heath Stocking Wood Avenue Rathfarnham Dublin 16, Rathfarnham, Dublin 16",16,107 m²,2 Bed,53.2729617,-6.317185,"€ 350,000",Apartment
"22 Temple Manor Grove, Walkinstown, Dublin 12",12,130 m²,3 Bed,53.305705,-6.3325618,"€ 450,000",Semi-D
"22 The Eden, Prospect Hill, Finglas, Dublin 11",11,67 m²,2 Bed,53.2812319,-6.2760302,"€ 250,000",Apartment
"22 The Laurels, Terenure, Dublin 6",6,101 m²,3 Bed,53.3119416,-6.2904921,"€ 455,000",End of Terrace
"22 The Parklands, Castleside Drive, Rathfarnham, Dublin 14",14,44 m²,1 Bed,53.2968104,-6.2788874,"€ 275,000",Apartment
"22 Thornfield Square, Clondalkin, Dublin 22",22,null,1 Bed,53.3246123,-6.3934275,"€ 170,000",Apartment
"223 Bunting Road, Walkinstown, Dublin 12",12,null,3 Bed,53.3218182,-6.322891,"€ 380,000",Semi-D
"223 Saint Attracta Road, Cabra, Dublin 7",7,91 m²,2 Bed,53.3679501,-6.2869045,"€ 350,000",End of Terrace
"224 The New Hardwicke, Upper Church Street, Smithfield, Dublin 7",7,60 m²,2 Bed,53.3513177,-6.2747306,"€ 295,000",Apartment
"226 Ballymun Road, Glasnevin, Dublin 11",11,122 m²,3 Bed,53.3912439,-6.2634302,"€ 395,000",Semi-D
"23 Ailesbury Drive, Donnybrook, Dublin 4",4,240 m²,4 Bed,53.320914,-6.2276008,"€ 2,100,000",Detached
"23 Ashgrove Court, Sandyford Road, Dundrum, Dublin 16",16,60 m²,2 Bed,53.2887303,-6.2421006,"€ 395,000",Apartment
"23 Balally Close, Dundrum, Dublin 14",14,105 m²,3 Bed,53.2807009,-6.2427837,"€ 650,000",Semi-D
"23 Ballygall Crescent, Finglas East, Finglas, Dublin 11",11,null,3 Bed,53.3843011,-6.2890401,"€ 249,950",End of Terrace
"23 Beaupark Crescent, Clongriffin, Dublin 13",13,130 m²,4 Bed,53.4004315,-6.151047,"€ 385,000",Terrace
"23 Belarmine Close, Stepaside, Dublin 18",18,127 m²,3 Bed,53.2603723,-6.2195537,"€ 525,000",End of Terrace
"23 Broadstone Avenue, Dublin 7",7,35 m²,2 Bed,53.3560618,-6.2728301,"€ 269,000",Semi-D
"23 College Manor, Drumcondra, Dublin 9",9,82 m²,3 Bed,53.3691884,-6.2544102,"€ 395,000",Terrace
"23 Collins Drive, Finglas East, Finglas, Dublin 11",11,null,3 Bed,53.3886161,-6.2883476,"€ 299,950",End of Terrace
"23 Darley Terrace, Dublin 8",8,52 m²,2 Bed,53.3366761,-6.2858419,"€ 295,000",Terrace
"23 Fergus Road Terenure Dublin 6W, Terenure, Dublin 6",6,101 m²,3 Bed,53.3080748,-6.2850287,"€ 675,000",Terrace
"23 Fitzroy Avenue, Drumcondra, Dublin 3",3,89 m²,2 Bed,53.3618,-6.2551326,"€ 330,000",Terrace
"23 Grange Park Green, Raheny, Dublin 5",5,95 m²,3 Bed,53.386243,-6.1663735,"€ 350,000",Semi-D
"23 Knockmore Grove, Tallaght, Dublin 24",24,93 m²,3 Bed,53.2777153,-6.3929561,"€ 295,000",End of Terrace
"23 Landscape Park Churchtown Dublin 14, Churchtown, Dublin 14",14,117 m²,3 Bed,53.297244,-6.2618399,"€ 575,000",Semi-D
"23 Lanesborough Road, Finglas, Dublin 11",11,null,3 Bed,53.4038397,-6.294611,"€ 335,000",Terrace
"23 Lock-Keepers Walk, Royal Canal Park, Ashtown, Dublin 15",15,106 m²,3 Bed,53.377274,-6.316215,"€ 345,000",Terrace
"23 Martin Street, Portobello, Dublin 8",8,75 m²,2 Bed,53.3305401,-6.2684988,"€ 550,000",Terrace
"23 New Row, Chapelizod, Dublin 20",20,53 m²,2 Bed,53.3487036,-6.3439511,"€ 235,000",End of Terrace
"23 Newlands Park, Clondalkin, Dublin 22",22,153 m²,5 Bed,53.315322,-6.3864282,"€ 465,000",Semi-D
"23 Park Court, Sandymount, Dublin 4",4,59 m²,2 Bed,53.3270878,-6.216834,"€ 445,000",Townhouse
"23 Pigeon House Road, Ringsend, Dublin 4",4,48 m²,2 Bed,53.3433753,-6.2202771,"€ 380,000",Terrace
"23 Rathborne Drive, Ashtown, Dublin 15",15,135 m²,4 Bed,53.3760721,-6.3330636,"€ 495,000",Terrace
"23 Redwood Avenue, Kilnamanagh, Tallaght, Dublin 24",24,114 m²,3 Bed,53.2990563,-6.3617042,"€ 370,000",Semi-D
"23 Seaview Avenue East, East Wall, Dublin 3",3,81 m²,2 Bed,53.3566778,-6.235334,"€ 310,000",Terrace
"23 Swords Street, Stoneybatter, Dublin 7",7,46 m²,2 Bed,53.3527913,-6.2911021,"€ 300,000",Terrace
"23 Templeogue Wood Templeogue Dublin 6W, Templeogue, Dublin 6W",6W,130 m²,4 Bed,53.2973793,-6.3139823,"€ 595,000",Semi-D
"23 The Crescent Park West Pointe Yeats Way Park West Business Park, Park West, Dublin 12",12,78 m²,2 Bed,53.331938,-6.3770368,"€ 210,000",Apartment
"23 The Iona, Prospect Hill, Finglas, Dublin 11",11,70 m²,2 Bed,53.3804835,-6.2906337,"€ 230,000",Apartment
"23 The Park, Larch Hill, Santry, Dublin 9",9,null,3 Bed,53.4002488,-6.228269,"€ 219,950",Apartment
"23 The Steelworks, Foley Street, Dublin 1",1,61 m²,2 Bed,53.3525906,-6.2505868,"€ 285,000",Apartment
"23 The Village, Drumcondra, Dublin 9",9,48 m²,1 Bed,53.3691884,-6.2544102,"€ 310,000",End of Terrace
"23 The Willow, Rockfield, Dundrum, Dublin 16",16,77 m²,2 Bed,53.2866263,-6.23668,"€ 395,000",Apartment
"234 Collins Avenue, Whitehall, Dublin 9",9,206 m²,5 Bed,53.3802778,-6.2369444,"€ 630,000",Semi-D
"235 William Palliser House, Loreto Abbey, Grange Road, Rathfarnham, Dublin 14",14,63 m²,2 Bed,53.2929118,-6.2803719,"€ 350,000",Apartment
"236 Keeper Road, Drimnagh, Dublin 12",12,74 m²,2 Bed,53.3304256,-6.299334,"€ 299,950",Terrace
"24 Addison Road, Fairview, Dublin 3",3,106 m²,4 Bed,53.3623384,-6.2400933,"€ 400,000",Terrace
"24 Cadogan Road, Fairview, Dublin 3",3,89 m²,3 Bed,53.3618467,-6.2393283,"€ 350,000",Terrace
"24 Clune Road, Finglas East, Finglas, Dublin 11",11,72 m²,3 Bed,53.3905616,-6.2944374,"€ 345,000",End of Terrace
"24 Dargle Road, Drumcondra, Dublin 9",9,80 m²,2 Bed,53.3664884,-6.2597886,"€ 575,000",Terrace
"24 Deerpark Square, Kiltipper, Tallaght, Dublin 24",24,null,2 Bed,53.2715261,-6.3778691,"€ 219,000",Apartment
"24 Donaghmede Avenue, Donaghmede, Dublin 13",13,107 m²,3 Bed,53.3929302,-6.1593159,"€ 365,000",Terrace
"24 Elkwood, Rathfarnham, Dublin 14",14,129 m²,4 Bed,53.2883148,-6.3032441,"€ 785,000",Semi-D
"24 Fernleigh Drive, Castleknock, Carpenterstown, Dublin 15",15,121 m²,3 Bed,53.3724551,-6.4034794,"€ 330,000",Semi-D
"24 Gateway Crescent, Ballymun, Dublin 9",9,93 m²,3 Bed,53.3943386,-6.265549,"€ 199,000",Terrace
